notation;prefLabel
LC00001;Agricultura
LC00002;Agricultura - Agriculture (General)
LC00003;Agricultura - Agriculture (General) - Química Agrícola. Químicos agrícolas
LC00004;Agricultura - Agriculture (General) - Agricultura de conservação 
LC00005;Agricultura - Agriculture (General) - Agroecologia (Geral)
LC00006;Agricultura - Agriculture (General) - Educação Agrícola
LC00007;Agricultura - Agriculture (General) - Agrometeorologia. Cultivos e clima
LC00008;Agricultura - Agriculture (General) - Missões agrícolas
LC00009;Agricultura - Agriculture (General) - Física do solo
LC00010;Agricultura - Agriculture (General) - Estruturas agrícolas. Construção rural
LC00011;Agricultura - Agriculture (General) - Agricultura e meio ambiente
LC00012;Agricultura - Agriculture (General) - Conservação de recursos naturais
LC00013;Agricultura - Agriculture (General) - Documentos e outras coleções
LC00014;Agricultura - Agriculture (General) - Economia agrícola. Gestão Agrícola. Matemática na agricultura
LC00015;Agricultura - Agriculture (General) - Maquinaria Agrícola e Engenharia Agrícola
LC00016;Agricultura - Agriculture (General) - Fertilizantes e melhoria do solo
LC00017;Agricultura - Agriculture (General) - História
LC00018;Agricultura - Agriculture (General) - Melhoramento: Melhoria
LC00019;Agricultura - Agriculture (General) - Métodos e sistemas de cultura. Sistemas de cultivo
LC00020;Agricultura - Agriculture (General) - Meios de cultivo de plantas. Substrato orgânico
LC00021;Agricultura - Agriculture (General) - Conservação e proteção do solo
LC00022;Agricultura - Agriculture (General) - Solos. Ciência do Solo
LC00023;Agricultura - Cultura animal
LC00024;Agricultura - Cultura animal - Aclimatação